year_harvest	NUMD	IRR	ETP_1	ETP_2	ETP_3	ETP_4	ETP_5	ETP_6	ETP_7	ETP_8	ETP_9	PR_1	PR_2	PR_3	PR_4	PR_5	PR_6	PR_7	PR_8	PR_9	RV_1	RV_2	RV_3	RV_4	RV_5	RV_6	RV_7	RV_8	RV_9	SeqPR_1	SeqPR_2	SeqPR_3	SeqPR_4	SeqPR_5	SeqPR_6	SeqPR_7	SeqPR_8	SeqPR_9	Tn_1	Tn_2	Tn_3	Tn_4	Tn_5	Tn_6	Tn_7	Tn_8	Tn_9	Tx_1	Tx_2	Tx_3	Tx_4	Tx_5	Tx_6	Tx_7	Tx_8	Tx_9
29	26	1	0.164978	0.216677	0.762505	1.98162	2.02706	2.03472	2.83994	2.35316	1.71314	2.35312	4.15396	3.50306	2.55805	5.39739	8.3721	5.17105	2.2661	5.59963	40.3898	44.8012	101.449	176.076	176.197	162.32	205.141	182.056	151.199	0.279298	0.595389	0.544712	0.392405	0.674153	0.721519	0.588403	0.412005	0.387342	-6.75212	-1.28324	-1.66216	4.41361	5.52536	10.2209	13.6142	12.6624	12.1738	-2.5596	2.71161	4.87492	13.7638	12.6605	16.4744	20.8589	20.6199	20.6229
31	26	1	0.227205	0.332023	1.17073	0.9301	3.5192	3.47246	3.29522	2.78101	1.60707	0.952733	3.79389	2.79579	6.77152	2.11654	1.77536	3.13958	3.15171	1.65746	66.7413	61.6272	124.514	105.503	260.836	251.903	232.929	208.802	149.467	0.269498	0.458861	0.422621	0.837553	0.38628	0.436709	0.378522	0.389138	0.276371	-0.621451	0.0376482	2.50908	3.32619	9.5022	10.6084	13.5597	12.3263	9.26262	4.69269	5.81187	11.9308	8.82882	18.6267	18.8967	22.4642	21.9388	17.9997
38	26	1	0.319742	0.43014	1.10154	1.96706	2.16593	3.62934	3.49113	2.33546	1.61718	1.04892	3.1394	0.94847	1.15581	4.50233	2.84653	4.06435	4.90116	1.5987	49.5056	67.9391	132.228	176.342	167.713	248.523	242.572	172.661	152.056	0.314822	0.680052	0.288689	0.345992	0.734586	0.375949	0.399755	0.681094	0.405485	-0.746908	-4.13513	-1.79556	3.07068	7.13853	11.213	11.6553	11.7123	5.69491	5.68089	2.13007	7.53178	13.6264	14.5197	20.1647	20.5395	20.4531	15.161
43	26	1	0.301001	0.623349	0.831427	1.40803	2.87432	3.42791	3.28104	2.83108	1.25461	3.74903	2.55807	10.8684	6.16268	3.37638	4.53816	4.6665	3.198	5.68852	43.6508	78.3541	84.8037	135.527	213.359	247.1	218.883	196.171	118.136	0.583095	0.385624	0.902001	0.816878	0.505104	0.589451	0.639853	0.525112	0.84346	-0.199334	-0.85911	3.84771	2.71309	9.9636	9.82383	13.289	13.523	7.59451	5.15636	6.20238	9.74131	9.24615	18.1585	18.5151	22.1079	23.0502	13.879
46	26	1	0.238043	0.595823	1.15886	1.74778	3.02253	3.25673	3.07464	2.47291	1.93659	6.62365	1.45248	2.6777	2.01009	2.71609	3.57349	2.95521	6.37253	1.86384	38.6052	92.7936	130.931	164.552	237.488	229.585	210.613	172.611	157.057	0.769702	0.271497	0.496121	0.493249	0.507962	0.510549	0.54267	0.786035	0.396203	-1.82762	-2.30306	-0.315068	3.91221	6.30054	10.8764	12.7	13.6732	9.97941	2.95497	5.60108	7.87028	12.2564	15.2458	19.4616	21.2265	21.5995	19.1056
49	26	1	0.335897	0.642897	1.14616	3.00856	2.64606	3.01914	3.15819	2.53149	1.91304	4.38414	4.24488	5.04714	0.419562	5.57579	7.11208	5.84655	6.36377	2.55279	49.5598	78.276	127.114	242.674	194.732	208.223	213.419	183.928	166.649	0.712944	0.59358	0.55492	0.124895	0.748877	0.716034	0.680686	0.565945	0.485232	1.16426	1.60149	0.146797	6.49374	9.24957	12.1585	12.4558	11.9879	7.26066	5.68352	8.56113	8.96505	19.1491	17.2342	19.8284	20.2858	20.282	16.9298
3	27	5	0.326699	0.831607	2.09652	1.92545	2.99953	3.44584	3.7787	3.88117	2.50157	2.40149	1.25154	0.171368	3.79249	2.64636	2.408	1.59205	0.378242	1.35421	40.6884	90.4843	185.912	144.333	201.446	220.556	227.255	236.969	178.629	0.444023	0.32598	0.0645161	0.465033	0.324162	0.307516	0.208412	0.102783	0.118627	-1.68878	1.6291	1.54629	6.5219	7.78237	12.3213	12.9953	12.3821	12.2661	3.71163	9.72421	12.8252	16.1781	16.0573	21.2371	22.6999	24.1329	24.8125
5	27	5	0.420869	0.527779	1.00965	1.80299	3.0538	2.85861	3.91778	2.56895	1.46387	2.57833	2.84534	3.74318	2.88647	2.21719	4.22461	2.0415	5.90133	3.79534	54.5473	71.6375	99.834	140.204	210.938	195.324	256.183	181.301	120.642	0.460784	0.480742	0.537318	0.464706	0.367173	0.549346	0.41556	0.527514	0.523529	-5.1663	-4.29905	0.878059	5.14479	7.50507	11.6669	14.2926	11.3993	10.3722	-0.299893	1.15661	8.58383	13.2	16.3337	19.8535	24.3256	20.6703	18.2613
6	27	5	0.44839	0.682213	0.845045	1.96507	2.84751	3.86574	4.86012	3.40931	1.98047	0.479971	3.47804	6.54396	2.06284	2.13342	1.53254	0.641613	3.29311	2.30367	81.2102	69.523	84.4825	150.912	200.336	237.735	292.062	216.14	155.428	0.155598	0.409736	0.490512	0.288562	0.365908	0.364052	0.212207	0.357052	0.268954	-3.39865	1.42474	1.52149	5.08584	9.12271	12.811	14.3296	12.5666	11.1949	3.49973	6.94161	7.77252	13.7547	19.1632	21.9186	26.1102	22.3016	20.2332
11	27	5	0.364036	0.615954	0.880188	1.87082	2.60057	2.84266	4.26556	3.21501	1.85834	2.9487	3.00979	2.38663	2.03309	3.14337	4.57866	2.0398	2.17846	3.48417	57.6976	85.0388	91.4556	157.346	195.879	198.669	263.939	212.389	156.141	0.285262	0.386905	0.44086	0.406209	0.310879	0.476797	0.390576	0.353574	0.544444	-1.05839	-2.99235	2.41857	4.14162	8.38646	10.2468	13.6394	13.2136	10.7247	5.01464	3.32125	8.74536	12.5312	17.7061	17.9832	23.6107	22.2699	20.1263
12	27	5	0.423782	0.568014	1.0017	1.80632	3.01944	3.50223	4.52179	3.2936	2.67213	3.66229	2.63707	3.66874	3.17282	2.98113	3.38098	0.721752	1.81561	2.03815	47.6917	62.8702	101.952	155.048	216.888	233.264	268.906	213.072	193.852	0.423782	0.52486	0.393738	0.426471	0.294434	0.422549	0.183428	0.279254	0.143137	-0.0273944	-0.680233	-1.09948	2.41258	7.57084	13.332	13.311	12.9168	10.4395	5.91793	4.58181	5.39743	10.8253	16.1833	22.0852	23.9317	24.0177	22.463
14	27	5	0.373877	0.660909	1.17754	1.99757	2.76583	3.03902	4.14929	3.11021	1.73112	2.29722	7.30012	2.26029	1.92872	1.90045	4.07355	1.0791	2.32595	2.10844	48.8558	67.8315	128.757	155.883	211.536	215.425	264.067	213.283	156.257	0.381088	0.495943	0.415244	0.446732	0.402593	0.500654	0.212207	0.263125	0.328431	-0.894716	1.97175	1.48027	3.98728	6.70725	10.4332	13.2972	11.034	6.86288	4.27732	7.24813	11.1155	11.559	16.1369	18.7021	22.7018	21.7809	16.9313
15	27	5	0.457839	0.701924	1.50279	2.03969	2.63476	3.59629	3.73086	3.30185	2.36196	2.12119	1.13078	1.10615	2.19592	1.72384	2.86509	3.98717	1.40695	2.80642	65.4749	83.6512	153.769	169.274	191.883	236.027	243.828	224.056	179.799	0.35136	0.265056	0.130614	0.307516	0.344086	0.330719	0.305503	0.254269	0.162745	-1.9143	-2.39	-1.4503	1.52347	8.85623	12.3629	13.955	13.8976	10.0518	4.0584	3.47244	8.37202	10.0695	18.3765	20.9828	23.2746	25.4027	22.3385
16	27	5	0.489719	0.630127	0.867444	1.77525	2.74691	3.51232	4.50916	3.91181	1.70824	2.61622	6.28799	2.51126	2.54768	2.02759	2.4988	0.959052	1.82188	5.81389	58.9998	66.197	94.3123	166.083	206.857	238.883	273.266	241.226	145.302	0.355787	0.516807	0.366856	0.328105	0.296015	0.422549	0.0847565	0.194813	0.357516	1.57827	0.782036	2.65361	3.24692	7.55223	10.7587	13.2813	12.8162	8.87129	7.89903	5.81667	9.88324	12.2206	16.4048	19.6239	23.9722	25.0613	18.4933
18	27	5	0.654446	0.6172	1.54079	1.93957	3.35563	4.47187	3.8124	3.19546	1.66423	0.927549	2.08013	1.92247	2.51278	0.902624	0.943013	2.23877	3.10331	6.49097	69.5959	89.7684	163.625	177.835	248.985	290.927	243.145	224.143	152.291	0.131879	0.377282	0.128083	0.35915	0.189753	0.207516	0.358001	0.275775	0.488235	-0.724413	0.0287189	0.0693527	2.66584	8.29895	12.5468	14.6594	11.251	8.72181	5.38766	7.39597	9.57904	12.2917	19.4427	25.0922	24.4529	23.1666	18.001
19	27	5	0.211462	0.412574	1.12792	1.92799	1.89867	2.9496	3.64361	2.86662	2.36603	3.90009	4.16519	3.83361	2.02304	6.78076	3.60813	3.61423	3.65148	0.471435	47.5122	72.5408	120.928	164.644	169.204	217.524	258.182	214.591	197.3	0.357052	0.682423	0.426312	0.39085	0.542695	0.478431	0.389627	0.444023	0.107516	-0.576954	1.44497	3.03012	3.58014	7.38209	10.6803	12.8712	11.5551	8.42573	4.53202	8.56955	12.0471	12.565	15.3269	18.8368	22.0053	20.9637	19.1443
21	27	5	0.279214	0.456509	0.92037	1.80487	2.94393	3.37525	4.53873	3.12438	2.26491	3.72934	2.89924	4.78925	2.16235	2.05358	2.23986	0.817763	2.46288	1.00747	50.8772	70.9511	105.149	163.075	218.525	238.977	280.928	215.716	184.709	0.561986	0.430672	0.40038	0.402941	0.213789	0.312091	0.13852	0.318786	0.0813726	-3.07538	0.315172	2.20291	2.88106	7.25679	12.4727	13.6837	11.6892	9.21039	2.54995	6.0559	9.81381	11.0452	17.9449	21.5613	24.7974	23.1567	20.8494
24	27	5	0.408917	0.503788	1.2068	2.74024	2.89189	2.94202	4.15242	3.09184	2.07019	1.05547	0.589442	1.87342	0.678838	1.29866	3.96116	3.1494	2.67484	4.80015	57.5653	85.8597	133.323	220.016	225.868	212.18	264.451	222.991	163.971	0.16888	0.132003	0.290006	0.0996732	0.21537	0.400327	0.20019	0.288109	0.243464	1.34531	-0.223647	-0.454554	2.62818	6.85111	12.8538	15.2788	12.7713	11.08	7.51919	7.84525	8.53085	14.0634	19.1439	22.4582	27.1527	23.5022	22.4175
27	27	5	0.284357	0.6129	0.956447	2.45159	2.2168	3.19762	4.4126	3.7661	2.97061	2.11238	1.21212	5.38113	1.56586	5.52475	2.66407	1.07294	2.36914	0.0629626	48.1245	79.4959	102.496	193.039	173.444	220.705	266.609	241.459	204.078	0.357053	0.297619	0.48735	0.339542	0.649589	0.472549	0.232764	0.178052	0.024183	-6.79436	0.508254	0.142468	4.18604	7.31148	10.6715	14.3713	11.9388	10.5969	-0.286247	7.88188	7.22492	14.5375	15.776	20.3416	26.7189	24.5034	24.3754
29	27	5	0.39112	0.524395	1.05487	2.25488	2.76742	3.24181	3.46067	3.54914	2.26088	1.63813	2.87147	1.69655	4.30148	2.75835	3.44218	3.2476	3.19555	2.37213	50.3338	68.1251	114.507	187.668	211.286	225.268	229.767	231.691	177.675	0.402593	0.52626	0.365908	0.33268	0.386464	0.306536	0.386148	0.197976	0.27451	-5.37533	-0.129749	-0.404188	4.3988	6.20655	11.1229	14.345	13.5801	12.0595	1.07174	5.33975	7.4367	14.6547	15.2863	19.8332	23.8912	25.358	24.0509
31	27	5	0.401001	0.756854	1.546	1.40227	3.52255	4.09377	4.57945	3.93421	2.19242	0.434605	2.71889	1.14447	5.92475	1.17086	0.894165	1.1929	0.599121	1.34459	82.3914	99.0997	145.191	133.448	256.101	277.653	274.627	242.242	167.172	0.104997	0.19888	0.106578	0.632026	0.343137	0.25	0.188172	0.140417	0.161111	-1.59022	-0.0208324	2.68099	3.65923	8.99554	11.5479	15.0608	13.6726	9.89631	7.28997	9.92593	13.7539	10.9941	20.4904	22.116	26.1009	26.1795	21.1224
38	27	5	0.374854	0.616601	1.37517	2.1898	3.05841	4.17101	4.00325	3.0558	2.23508	4.37468	1.88306	1.93374	1.79611	3.51698	3.47423	3.65369	2.81345	1.59959	58.6232	98.7531	155.448	190.474	227.644	275.084	263.222	215.29	183.974	0.614801	0.389114	0.222644	0.294118	0.527198	0.321242	0.283681	0.450032	0.248693	2.90486	-1.74403	0.710764	5.01858	8.53189	13.2141	13.973	12.9808	7.83091	8.50087	4.55669	9.97339	14.5054	17.0678	22.4186	23.3568	22.7229	17.7836
43	27	5	0.324279	0.985346	1.17594	2.18554	2.97591	4.37545	4.25914	3.77898	2.21447	2.99279	1.48413	5.67439	2.56975	4.48605	2.03681	2.96007	1.50108	4.9849	57.1786	123.844	127.496	198.583	217.268	288.7	270.847	242.348	175.885	0.539532	0.237045	0.62334	0.376471	0.556293	0.236601	0.155914	0.239722	0.268954	1.36806	0.634092	4.86531	4.02602	10.6996	12.0701	14.7381	14.6239	8.58656	7.0573	8.60131	12.8406	12.082	19.2004	21.9899	25.089	26.4382	17.5848
46	27	5	0.386653	0.81733	1.48687	2.05396	3.25325	4.6128	4.78303	3.41797	2.72071	1.82652	2.35684	1.22614	2.17502	1.08589	0.540294	0.257501	4.85054	0.664003	63.8808	112.148	156.654	181.453	242.045	285.487	284.044	222.96	195.507	0.491145	0.193712	0.319734	0.461111	0.397533	0.273203	0.0983555	0.460152	0.145752	-0.433252	-0.965082	0.998956	4.52963	8.06391	13.2423	14.8989	14.3791	11.0014	4.80383	7.41178	10.0111	13.0185	17.4633	23.3031	25.7561	25.0467	22.1897
49	27	5	0.510673	0.787737	1.53891	2.66218	3.27067	3.92367	4.95109	3.75676	2.87382	1.55728	2.34947	1.60589	1.49462	4.89261	3.39035	1.51274	2.30288	2.09146	78.7354	97.1599	152.43	205.632	228.551	261.337	297.783	237.689	202.392	0.362429	0.554622	0.517394	0.431373	0.515813	0.392484	0.241303	0.415244	0.25	1.19856	1.89951	1.93487	7.56737	10.203	12.833	13.8895	13.4066	9.1867	8.22742	9.27857	11.3997	19.4145	18.5788	22.1242	24.3156	23.5475	20.331
11	28	3	0.390267	0.668693	1.15371	2.26184	2.44958	3.13989	3.5661	2.70276	1.84548	1.2394	0.92433	1.63331	1.36959	2.44229	1.62726	1.2237	1.9349	0.947279	21.8702	54.6512	83.6672	150.938	152.47	179.121	199.256	162.943	115.661	0.345161	0.566667	0.467742	0.334444	0.717204	0.456667	0.324731	0.496774	0.243333	2.82189	-0.745453	3.67947	5.00038	8.7125	11.4395	15.0291	13.3921	11.8	6.68048	4.4797	9.18943	13.5933	17.5775	19.3644	24.1672	22.0784	20.0823
12	28	3	0.350795	0.740095	1.05574	1.44673	2.78901	3.63757	3.45211	2.76606	2.07119	2.27608	3.58725	2.01308	2.02806	1.43851	3.04265	1.57918	1.93849	0.784083	20.6854	48.1631	76.8716	100.435	166.071	204.72	189.632	160.591	114.136	0.687097	0.8	0.637634	0.746667	0.332258	0.311111	0.424731	0.416129	0.115556	1.76786	1.61643	1.42086	4.17453	9.75908	14.1368	13.427	13.7924	10.9979	5.57679	6.37526	6.19769	10.4571	17.7304	22.0445	21.9578	22.3189	20.9458
14	28	3	0.325835	0.578564	1.7293	1.9238	2.23549	2.84966	3.21505	2.51324	2.16113	2.87565	1.93621	0.950044	1.29484	1.60008	1.34575	2.82135	2.61845	1.13028	23.2507	40.5682	119.152	107.019	132.316	168.597	177.456	144.973	138.096	0.572043	0.628736	0.253763	0.592222	0.575269	0.528889	0.490323	0.356989	0.322222	0.278156	2.74044	3.94407	6.07015	8.46196	9.72283	13.7876	12.4236	8.74704	4.35557	7.26021	12.6556	12.1098	15.2367	17.9449	22.3619	20.9925	17.5497
15	28	3	0.38046	0.607548	1.8608	1.64119	2.46286	4.1678	2.94937	3.33418	2.36717	0.882872	1.48565	0.193664	1.13754	2.7837	1.43644	1.43831	1.45691	2.66945	27.4474	47.0092	146.201	117.478	146.549	233.794	163.32	187.272	142.659	0.480645	0.507143	0.0645161	0.292222	0.445161	0.184444	0.476344	0.224731	0.427778	0.818427	1.22011	1.29685	3.59089	9.22087	13.1662	14.226	14.9471	11.5527	4.2264	5.11636	10.7728	11.5493	17.1933	21.9589	22.0338	25.7388	21.7377
16	28	3	0.592473	0.857134	0.946312	2.50748	2.8799	3.59339	3.5774	3.20769	1.79225	2.09192	1.40758	1.99386	0.849742	1.82089	1.75084	0.939675	1.03348	3.44025	31.872	51.1029	69.8267	169.611	183.904	216.669	203.313	178.343	103.349	0.556989	0.42381	0.409677	0.218889	0.367742	0.445556	0.377419	0.296774	0.648889	4.36252	2.64946	4.43664	5.99915	8.34323	11.8057	12.5787	13.4941	10.1313	8.30687	7.87938	9.77774	14.3605	16.3599	20.251	22.097	23.4097	17.3073
18	28	3	0.495138	0.595178	1.34666	3.21749	3.20709	5.25426	4.2635	4.08412	1.67117	0.55429	1.21088	0.874429	0.571757	0.430485	0.0929642	1.93887	0.265027	1.90197	25.431	49.8686	111.874	219.65	209.725	290.679	240.466	235.047	120.042	0.408602	0.431034	0.25914	0.186667	0.135484	0.0311111	0.301075	0.0645161	0.447778	2.23692	1.50035	1.36398	4.72048	9.6438	15.7102	17.0277	14.2313	10.0105	6.05317	6.55452	8.86343	13.6048	19.7539	26.4251	26.195	25.4877	18.7179
19	28	3	0.407116	0.668923	1.30677	1.80478	2.60801	2.37808	3.19354	2.59942	2.09442	1.57988	3.10376	1.51623	1.68261	2.80233	2.23348	2.42315	1.59913	0.614765	32.5955	48.2297	96.1365	140.291	168.157	135.231	190.818	170.603	143.747	0.503226	0.777381	0.43871	0.443333	0.58172	0.52	0.515054	0.309677	0.221111	1.55694	3.81974	4.2859	3.63975	8.87917	11.4602	13.9863	12.2127	9.1069	5.06149	8.37907	11.371	11.7163	16.0589	17.9743	21.5231	20.5172	18.7679
21	28	3	0.354773	0.519793	0.927986	1.76484	2.46911	3.09677	3.64535	2.34497	2.02693	1.31983	2.86561	3.64124	2.44749	1.75487	1.20358	0.522842	1.86888	0.773708	31.8062	40.9349	68.256	133.894	169.811	193.682	224.257	145.752	135.729	0.491398	0.611905	0.769892	0.532222	0.57957	0.346667	0.055914	0.454839	0.25	-4.38846	0.432154	3.25375	4.67012	8.39462	12.4501	13.6741	12.4903	9.79317	0.111027	5.04642	8.75676	11.757	16.0168	19.7992	22.5844	20.7852	20.032
24	28	3	0.413629	0.535583	1.23631	2.21945	2.45176	3.12788	3.53318	2.40397	1.90173	1.98883	0.786216	1.62392	0.513474	2.17607	2.5762	2.53005	0.673476	1.82947	29.2553	54.7015	105.848	162.383	175.057	206.663	214.541	164.836	138.917	0.572043	0.361905	0.56129	0.2	0.513978	0.667778	0.247312	0.265591	0.33	1.1125	2.03141	2.22793	4.15911	9.2846	13.6391	15.3398	12.6286	11.8421	5.93069	7.38611	10.0138	13.3341	17.2731	21.7888	24.3873	21.8761	22.7328
27	28	3	0.354544	0.832376	1.14881	2.22015	2.35404	3.03373	4.0546	2.69934	2.63387	0.895094	0.456661	2.21296	2.01925	1.95532	1.67979	1.57141	1.19146	0.935613	35.3349	71.9147	96.0773	148.827	148.423	185.618	242.279	163.527	165.104	0.596774	0.107143	0.662366	0.496667	0.574194	0.418889	0.310753	0.434409	0.162222	-4.43768	-1.25621	1.92849	5.83091	9.58086	10.811	13.9367	11.3666	10.5588	0.8028	5.45703	7.90211	13.7133	16.7616	18.8281	23.7474	21.158	22.2792
29	28	3	0.470753	0.474438	1.13627	2.5928	3.00532	2.70366	3.51663	3.02646	1.78899	1.084	1.58578	1.69957	1.20403	1.64789	3.33499	2.63795	2.52087	0.713703	35.1736	34.2494	87.4178	173.419	190.777	156.095	201.855	181.891	111.96	0.264516	0.717857	0.495699	0.368889	0.363441	0.792222	0.43871	0.316129	0.414444	-4.12832	0.707684	0.970989	7.22739	7.06105	11.0745	14.3771	13.4591	13.1048	-0.682913	4.71556	7.20876	16.1001	14.7952	18.0771	21.665	22.1979	21.0381
31	28	3	0.427591	0.697543	1.56637	1.70028	4.36049	3.58434	4.13749	3.14905	2.2126	0.798667	1.70852	2.48682	2.7535	0.324432	1.82295	1.13164	0.801879	1.13337	40.8263	55.6045	107.06	126.227	271.708	214.267	247.729	190.187	144.278	0.36129	0.55119	0.425806	0.485556	0.103226	0.334444	0.468817	0.292473	0.113333	1.39175	2.24446	5.18787	4.30097	11.382	12.8979	15.6017	13.8554	11.5586	5.98209	7.78397	13.5885	11.8075	21.6542	21.1501	24.9986	24.1172	21.1657
38	28	3	0.403288	0.687067	1.28993	2.38289	2.57979	4.26772	4.31426	3.00057	2.43137	1.72932	1.71358	0.523491	0.1791	1.61939	0.396544	1.15763	2.13082	1.40865	33.0721	54.7236	113.75	177.041	168.161	244.989	240.491	175.679	156.965	0.313978	0.471264	0.0817204	0.0611111	0.492473	0.212222	0.195699	0.432258	0.0844444	1.79253	0.0695237	1.86865	4.63869	8.01783	12.9743	13.7773	13.5445	8.93459	5.54648	4.22669	9.9218	15.2281	15.3305	22.5489	23.4647	23.0355	18.5806
43	28	3	0.546259	0.832628	1.16549	1.83452	2.92408	3.7251	3.28149	3.08464	1.55011	2.72396	1.52775	3.94828	2.29208	0.764467	1.0409	5.30464	2.39469	3.36401	38.0678	67.7005	81.3746	133.478	178.922	231.687	190.499	182.2	104.075	0.697849	0.597619	0.733333	0.727778	0.253763	0.394444	0.441935	0.468817	0.531111	2.56943	2.61967	5.47384	5.40286	11.3475	11.887	15.3399	14.557	9.13029	6.73908	7.78408	11.2987	12.0154	19.6781	21.3281	23.6189	24.4078	17.1224
46	28	3	0.38408	0.874778	1.50922	2.16841	3.23204	3.71551	3.22273	2.74884	2.44814	3.39602	0.156794	1.05215	2.01554	1.27257	0.964154	1.05249	3.02295	0.408085	30.091	76.0298	123.061	157.392	216.467	225.715	193.252	159.528	150.441	0.776344	0.11954	0.435484	0.594444	0.413978	0.242222	0.403226	0.632258	0.231111	2.07955	1.65922	2.76058	6.39645	8.91415	12.6592	14.165	15.1002	11.6546	6.47084	8.40235	10.4817	14.5381	17.4777	22.382	23.3478	24.2404	22.1002
49	28	3	0.649155	0.737038	1.53397	3.15811	3.4666	3.66343	3.59664	2.99862	2.40716	1.07071	2.32101	1.83114	0.250966	2.66235	2.73129	2.54606	3.6828	0.532975	46.863	62.5682	125.215	219.756	213.264	214.067	208.52	181.493	158.903	0.439785	0.552381	0.544086	0.0666667	0.682796	0.56	0.593548	0.387097	0.243333	4.63263	4.58578	2.96651	8.11266	11.2818	14.2015	13.7753	13.3185	9.21399	9.3071	10.4034	11.4274	21.0712	18.672	21.8203	21.9788	21.7125	19.3798
3	29	2	0.371167	0.701123	1.4747	1.66314	3.02711	3.46122	3.16693	3.01079	1.9544	2.65586	1.89267	0.159153	1.51406	0.57242	1.28144	1.6643	0.249576	1.4593	33.5906	63.17	135.674	119.653	209.995	222.755	198.44	187.175	132.219	0.551893	0.453416	0.11641	0.524275	0.186185	0.334058	0.291374	0.257363	0.248551	1.52133	4.85798	3.54176	8.13166	7.88112	11.2199	12.5834	12.5429	12.5121	5.26055	10.2807	12.4936	15.4233	16.0841	19.8541	20.7262	21.4947	22.3457
5	29	2	0.384019	0.515424	1.18145	1.6889	2.66591	2.63687	3.47385	1.80539	1.65147	0.63011	0.51642	1.90627	1.8267	1.62988	2.60647	0.812393	4.95949	1.86909	46.4325	70.5054	90.2025	130.708	184.997	165.998	218.785	113.328	116.792	0.0859046	0.380047	0.406031	0.54529	0.442146	0.589855	0.193548	0.585905	0.421377	-5.43471	-4.12259	3.19599	5.58654	7.63289	12.0958	13.2019	11.7399	11.1026	-0.893542	0.826393	9.20065	12.228	14.78	18.3255	21.1445	18.0199	17.7323
6	29	2	0.294975	0.511897	0.977626	1.9271	2.83424	3.20048	3.57341	2.80127	1.95891	0.736325	2.12315	1.90755	1.90688	1.42119	2.63059	0.411521	0.790601	1.39344	38.614	48.9748	85.4641	141.042	182.52	199.455	224.504	177.112	133.581	0.301543	0.348201	0.363254	0.370652	0.342216	0.455797	0.178471	0.21669	0.387319	-0.830724	3.20709	2.25268	5.22596	10.1305	11.2996	13.0833	12.4198	11.0452	2.621	6.88605	6.99305	12.4971	18.629	19.4312	22.4214	21.5348	20.305
11	29	2	0.388985	0.546854	1.01523	2.22609	2.32449	3.02375	3.33608	2.47271	1.62056	1.12204	1.74205	1.91933	1.34292	2.315	1.512	1.82585	2.03065	1.1714	24.4642	58.3789	89.843	160.511	161.423	195.343	207.702	163.748	120.325	0.473001	0.693711	0.425316	0.348188	0.633941	0.400725	0.285063	0.415498	0.308696	3.632	-1.11203	2.98705	4.29819	8.22617	10.7066	13.7605	12.5308	11.1155	6.87157	4.22162	8.71388	12.9328	16.5071	18.2951	22.2354	20.6445	18.9766
12	29	2	0.313685	0.632099	1.10526	1.3207	2.53544	3.62351	2.9435	2.40416	1.83706	2.26527	4.68996	2.18936	2.78787	1.58314	1.5074	1.40339	1.72422	1.30241	24.133	51.9931	84.7888	96.4596	174.156	227.064	181.252	159.05	126.213	0.647966	0.835792	0.661992	0.718478	0.306452	0.415942	0.399018	0.422511	0.276449	2.62645	1.01676	1.12418	3.93407	9.016	12.8414	11.7422	12.6515	10.9905	6.0833	5.95727	6.14846	9.77439	16.4756	21.1075	19.7805	21.366	20.0398
14	29	2	0.216589	0.420696	1.42422	1.77833	2.19629	2.61538	3.01655	2.33279	1.8658	2.21052	2.33597	1.28944	1.81151	1.63221	1.30291	1.62725	2.01268	1.61227	24.8835	42.3182	122.048	114.139	148.973	172.578	188.887	155.886	137.819	0.680575	0.555097	0.312062	0.557971	0.709327	0.577174	0.388149	0.367461	0.319928	0.799034	2.49798	3.8647	5.56381	7.46144	8.95415	12.7202	11.3834	8.20954	4.45707	6.78837	12.0396	11.0607	14.3202	16.233	20.6373	19.7712	16.3002
15	29	2	0.231579	0.437894	1.52407	1.49292	2.24781	3.77896	2.90159	3.26317	1.92842	0.914397	1.90293	0.293072	1.38966	3.05346	0.946648	1.4189	1.47555	2.84307	29.6102	52.4004	145.513	121.602	151.417	240.486	179.112	208.959	133.082	0.490533	0.559394	0.13324	0.422826	0.647966	0.231159	0.525596	0.313815	0.538406	0.89513	0.705874	0.503851	2.9552	8.51929	11.7124	12.9939	13.5632	10.8182	4.60425	4.95161	10.3112	10.9132	15.6599	20.0342	20.3607	24.1916	20.1535
16	29	2	0.484536	0.634675	0.865512	2.22214	2.61751	3.1987	3.01199	2.693	1.60211	1.75871	1.64523	1.62959	0.692125	1.67185	2.81583	1.04736	0.976737	4.23687	30.5273	59.2921	86.8835	173.342	181.524	201.082	181.803	170.856	105.804	0.565568	0.369177	0.411641	0.242391	0.503156	0.485145	0.387097	0.467742	0.581159	4.23298	1.6507	3.11989	4.56368	7.00645	10.7215	11.496	12.1483	9.1722	8.16252	7.38881	9.48461	13.5304	14.7964	18.8321	19.46	21.3182	16.5834
18	29	2	0.438349	0.538473	1.14775	2.67008	2.85802	4.7543	3.87297	3.67836	1.28186	0.983613	1.49772	0.964286	0.291515	0.366433	0.0791817	1.04838	0.189122	2.37877	30.963	50.479	112.778	199.247	197.987	279.244	230.977	228.588	106.771	0.544179	0.394678	0.28331	0.221739	0.103787	0.015942	0.373773	0.109397	0.537319	2.51176	1.42402	0.99131	2.88266	8.19972	13.4278	14.984	12.8163	9.88525	6.17453	5.98302	8.42333	12.7595	18.355	24.7743	24.9064	25.0363	18.1817
