"year_harvest"	"NUMD"	"ETP_1"	"ETP_10"	"ETP_11"	"ETP_12"	"ETP_2"	"ETP_3"	"ETP_4"	"ETP_5"	"ETP_6"	"ETP_9"	"PR_1"	"PR_10"	"PR_11"	"PR_12"	"PR_2"	"PR_3"	"PR_4"	"PR_5"	"PR_6"	"PR_9"	"RV_1"	"RV_10"	"RV_11"	"RV_12"	"RV_2"	"RV_3"	"RV_4"	"RV_5"	"RV_6"	"RV_9"	"SeqPR_1"	"SeqPR_10"	"SeqPR_11"	"SeqPR_12"	"SeqPR_2"	"SeqPR_3"	"SeqPR_4"	"SeqPR_5"	"SeqPR_6"	"SeqPR_9"	"Tn_1"	"Tn_10"	"Tn_11"	"Tn_12"	"Tn_2"	"Tn_3"	"Tn_4"	"Tn_5"	"Tn_6"	"Tn_9"	"Tn17.2_1"	"Tn17.2_10"	"Tn17.2_11"	"Tn17.2_12"	"Tn17.2_2"	"Tn17.2_3"	"Tn17.2_4"	"Tn17.2_5"	"Tn17.2_6"	"Tn17.2_9"	"Tx_1"	"Tx_10"	"Tx_11"	"Tx_12"	"Tx_2"	"Tx_3"	"Tx_4"	"Tx_5"	"Tx_6"	"Tx_9"	"Tx010_1"	"Tx010_10"	"Tx010_11"	"Tx010_12"	"Tx010_2"	"Tx010_3"	"Tx010_4"	"Tx010_5"	"Tx010_6"	"Tx010_9"	"Tx34_1"	"Tx34_10"	"Tx34_11"	"Tx34_12"	"Tx34_2"	"Tx34_3"	"Tx34_4"	"Tx34_5"	"Tx34_6"	"Tx34_9"	"Class"
"1360"	3	25	0.354901	0.79682	0.572193	0.286169	0.891299	1.98327	1.93167	2.95771	3.62229	1.85648	4.85192	6.63171	3.95811	4.43509	1.74096	0.0274371	2.51701	1.76698	1.04123	4.29456	46.4481	71.4415	51.725	37.8635	90.8734	185.609	152.447	214.311	243.06	148.958	0.563172	0.765905	0.763426	0.552643	0.391865	0.0168011	0.529167	0.381944	0.273611	0.398843	2.36194	8.72916	6.89814	1.47678	5.75184	3.59165	8.92491	9.1344	13.9671	11.2347	0	0	0	0	0	0	0	0	0	0	6.74829	14.9317	11.9085	5.19704	12.6503	15.0232	17.3921	18.3849	22.7284	19.2009	27.0417	1.04861	6.77778	25.8889	7.09722	2.40278	0.0347222	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"1361"	4	25	0.465951	1.08128	0.510494	0.42702	0.831489	1.26531	2.35807	2.7277	4.39363	2.53483	3.72829	2.91248	3.61765	4.12639	1.55192	3.41071	2.47923	3.09913	0.917031	2.07133	51.613	96.1041	54.6333	47.5791	95.169	121.507	183.952	194.032	287.069	158.42	0.514337	0.506496	0.425694	0.524866	0.397073	0.348118	0.378935	0.37388	0.0842593	0.221528	3.83061	9.72748	5.08251	4.28711	1.40536	1.84129	6.04444	9.0971	12.6005	15.3	0	0	0	0	0	0	0	0	0	0	8.15886	17.635	10.6074	9.8123	7.96015	9.0127	14.8369	16.8522	23.054	25.62	18.2222	0.583333	14.6806	14.3056	20.4375	18.1528	6.08333	0.229167	0	0	0	0	0	0	0	0	0	0	0	0.0208333	0
"1362"	5	25	0.463003	1.41724	0.42762	0.393573	0.724042	1.33289	2.22024	3.20293	2.99716	2.51729	1.39211	1.08815	5.06987	2.70024	3.51998	4.40509	2.47835	1.55311	4.89334	1.60337	67.8563	127.244	56.5109	54.4238	94.0809	111.272	178.423	232.449	201.21	171.652	0.265905	0.146953	0.417361	0.450269	0.452381	0.524194	0.431944	0.266577	0.622222	0.262037	-1.82031	9.00109	3.13867	-0.215461	-1.5793	4.89713	6.46536	8.45152	12.7219	11.4598	0	0	0	0	0	0	0	0	0	0	4.25749	18.746	8.87231	5.78288	5.08329	11.8333	14.6641	17.7025	20.6101	22.4576	18.3333	1.60417	18.9861	21.0903	19.2778	9.00694	2.13889	0.236111	0	0	0	0	0	0	0	0	0	0	0	0.00694444	1
"1363"	6	25	0.396047	1.22218	0.664384	0.421204	0.666783	1.24907	1.80309	3.17763	3.85509	1.70118	0.331722	1.72017	3.12128	1.52893	2.79259	2.37896	3.46229	3.66432	1.56865	3.14039	78.0577	120.148	55.2569	62.0916	73.7724	110.896	146.88	220.46	253.424	134.855	0.118728	0.159274	0.582639	0.237231	0.437261	0.365143	0.479861	0.303987	0.101389	0.524306	-1.13223	8.47357	7.41946	0.501231	3.45415	3.99843	6.30687	11.173	12.7815	12.0996	0	0	0	0	0	0	0	0	0	0	4.88346	17.0715	13.5146	6.52295	9.38981	10.764	14.2398	20.7416	22.5036	19.6582	19.2083	0.777778	5.29167	16.6319	16.7014	9.35417	4.3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1364"	7	25	0.433751	0.861961	0.486805	0.442782	0.835253	1.62684	1.92865	2.81119	3.70424	2.03366	3.43579	4.49826	1.32973	1.5485	0.306897	3.40079	2.19692	2.3918	0.973003	1.36891	50.169	95.5657	65.4633	53.5753	102.334	129.78	153.853	196.552	242.53	150.853	0.530466	0.46819	0.427083	0.180556	0.0952381	0.429884	0.559259	0.443772	0.293981	0.32963	2.30476	6.53424	4.63808	1.22688	-0.306585	4.84311	6.32242	9.63692	12.5965	13.9136	0	0	0	0	0	0	0	0	0	0	7.07309	14.0046	9.46067	7.05151	5.90227	12.0966	12.9411	17.9907	22.1786	23.539	24.7847	5.92361	16.6111	22.7639	24.0417	10.3333	3.55556	0.0763889	0	0	0	0	0	0	0	0	0	0	0	0	0
"1365"	8	25	0.491039	1.1557	0.565514	0.381589	0.827455	1.55094	1.92848	3.58794	3.50061	1.45223	3.99614	0.691372	6.09806	6.59356	4.23918	1.25254	3.62632	2.24303	4.13244	6.81567	49.8598	108.234	54.409	37.0793	73.4615	162.378	146.837	244.893	236.047	110.855	0.49664	0.189964	0.710185	0.788082	0.584325	0.197805	0.611111	0.197357	0.375463	0.664352	3.16747	10.9729	5.54209	5.15231	7.29087	1.93285	8.01086	9.90884	13.5401	10.6836	0	0	0	0	0	0	0	0	0	0	8.20503	19.7682	11.167	9.71186	12.9755	11.2942	15.7152	18.7921	21.9001	17.9738	12.5903	0	12.3056	14.8611	4.9375	8.78472	0.0972222	0.625	0	0.00694444	0	0	0	0	0	0	0	0	0	0	1
"1366"	9	25	0.464923	0.852461	0.425896	0.312681	0.862755	1.4149	2.47911	2.52986	3.73353	2.57103	1.68637	3.49958	2.99664	5.42015	3.44943	1.41244	0.789046	3.06053	1.07535	1.10422	56.5309	75.1715	48.8996	39.4729	80.0686	128.16	198.857	184.016	251.044	188.144	0.269041	0.634857	0.480787	0.805108	0.379712	0.483199	0.20787	0.526434	0.272917	0.151157	1.511	10.9761	2.88564	4.72348	3.74649	4.60229	5.09408	8.98054	12.0804	12.3382	0	0	0	0	0	0	0	0	0	0	6.68632	16.3205	8.43715	8.7148	9.64081	12.289	14.9351	17.8819	21.8122	23.3237	15.875	4.375	22.6181	19.6667	15.3194	7.34722	2.9375	0.736111	0	0	0	0	0	0	0	0	0	0	0	0	0
"1370"	13	25	0.572482	1.34588	0.675455	0.336448	0.734568	1.24787	2.15233	2.26469	2.78405	2.60847	4.19105	2.72307	3.22916	1.15328	2.57188	1.43724	2.4898	4.56948	3.10132	0.57128	49.3438	123.994	55.6418	54.9681	92.4699	127.747	161.675	159.589	191.918	180.354	0.637321	0.299507	0.492361	0.263217	0.350446	0.359543	0.36713	0.543011	0.41412	0.180787	2.56897	7.07092	7.08106	0.5582	0.981016	0.270744	7.94517	10.7517	12.2784	12.2256	0	0	0	0	0	0	0	0	0	0	8.3876	16.5187	13.8834	5.48069	8.05889	7.88802	17.2427	18.6085	19.2207	23.8768	15.8611	1.5	5.0625	16.7153	20.75	17.2986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"1372"	15	25	0.367424	1.07853	0.449566	0.40724	0.635998	1.95385	2.06902	2.62026	3.62707	1.86705	2.3735	1.54621	2.97532	1.42335	3.04765	0.597452	1.09528	2.5953	3.34165	1.0951	56.1259	103.682	54.8019	53.6635	86.2238	172.915	172.637	184.108	241.307	155.684	0.495744	0.28629	0.522222	0.290771	0.530506	0.0795251	0.251157	0.461918	0.317361	0.219907	1.13683	8.1881	5.81104	2.85964	1.05138	1.82516	4.27795	11.1571	13.7943	9.2706	0	0	0	0	0	0	0	0	0	0	5.5641	16.9864	11.9439	9.70146	6.36801	12.2703	13.3935	20.0187	22.8794	19.172	25.0139	1.21528	8.29861	15.8333	26.2153	9.11806	6.45833	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0
"1374"	17	25	0.558485	0.726763	0.556629	0.366252	1.00359	1.0304	2.27767	2.41533	4.04225	1.73828	3.33434	3.2819	3.4511	1.10794	0.898648	2.93647	2.38858	1.98871	1.72693	4.35515	54.5072	78.5975	51.3144	51.0525	111.582	102.321	178.775	177.627	264.889	128.562	0.496864	0.762769	0.671991	0.457661	0.181548	0.601703	0.39537	0.345878	0.258102	0.598148	4.17919	4.95782	6.07216	4.79237	3.96483	2.77402	6.04772	9.02463	13.0592	11.4937	0	0	0	0	0	0	0	0	0	0	9.7538	10.6737	11.3882	9.70671	11.8364	8.68702	14.3584	17.0926	21.8221	18.8816	13.2847	11.2569	8.18056	17.6806	7.45139	21.1667	9.75694	1.02778	0	0	0	0	0	0	0	0	0	0	0	0	0
"1376"	19	25	0.345914	0.906753	0.405205	0.402196	0.55121	1.13837	2.04697	2.02259	2.9365	1.67649	3.06456	5.09808	3.4387	4.17029	5.13598	2.06724	2.02787	3.84571	5.13803	2.7847	51.45	88.5113	54.8584	44.234	57.1341	114.767	165.693	157.902	202.328	140.16	0.579077	0.672043	0.541898	0.34767	0.773561	0.33647	0.44375	0.591622	0.505093	0.501852	2.48646	9.22416	3.77938	3.46916	6.05981	5.84125	6.19249	9.56545	12.3681	11.2983	0	0	0	0	0	0	0	0	0	0	7.2811	15.7872	8.95055	8.01139	10.7041	13.8666	13.8826	16.1544	19.864	19.7282	21.9444	1.90278	18.1806	17.8403	9.36111	4.5625	5.27778	1.26389	0.00694444	0	0	0	0	0	0	0	0	0	0	0	1
"1377"	20	25	0.355374	1.1443	0.492205	0.486599	0.51351	1.15454	1.74769	2.4915	3.20291	2.46251	4.03644	2.4449	1.97865	2.53762	4.21923	4.32624	3.13305	1.60497	1.60143	0.370986	44.8334	104.39	66.2157	51.673	49.6115	106.074	155.284	186.676	218.463	196.522	0.692428	0.409722	0.458333	0.399194	0.689732	0.47267	0.66875	0.413082	0.282176	0.0564815	1.97516	10.962	4.49531	4.1578	4.20003	5.12981	5.29477	9.3263	12.2957	11.059	0	0	0	0	0	0	0	0	0	0	6.43453	18.3493	10.5017	9.584	9.0226	11.885	12.4098	17.1881	20.429	21.5819	29.125	0	14.0903	14.4097	12.8125	9.19444	5.3125	0.0972222	0	0	0	0	0	0	0	0	0	0	0	0	0
"1378"	21	25	0.477748	1.4417	0.571518	0.538037	0.710394	0.968393	1.88958	2.5211	3.59721	2.56019	3.46389	0.205105	0.530404	5.013	3.60305	4.00187	3.64333	4.03087	1.13406	1.8407	57.8294	124.816	81.7913	35.1588	78.524	91.3751	148.839	185.466	247.684	188.111	0.429884	0.0477151	0.152315	0.577509	0.454117	0.831541	0.638657	0.465726	0.284259	0.248611	0.887084	8.52529	3.71463	5.28491	3.70355	5.06852	6.07829	9.28929	13.4612	11.6848	0	0	0	0	0	0	0	0	0	0	6.45129	17.6273	10.9463	9.44622	8.53549	10.3387	12.2144	17.6054	21.7768	22.2775	25.7986	0.527778	13.1597	15.0486	14.3472	14.1875	8.23611	0.666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"1379"	22	25	0.416608	0.78504	0.535625	0.471144	0.755032	1.11563	2.6242	2.58918	3.02228	2.21428	3.8948	2.74075	2.33981	4.94533	2.83207	3.36205	0.452697	2.26436	1.8777	1.25765	50.028	82.7281	70.49	47.3804	80.5183	113.794	201.301	191.183	206.193	173.612	0.598566	0.609095	0.418056	0.53293	0.384818	0.553763	0.153241	0.466174	0.53125	0.129167	1.96237	10.8159	4.1253	4.04429	5.13617	4.01024	5.40161	9.17585	12.3067	12.3977	0	0	0	0	0	0	0	0	0	0	6.19457	17.6163	10.0545	9.26344	10.5275	10.5221	13.9215	16.8531	19.0957	22.2215	23.3819	0.979167	15.2014	13.4236	12.9861	16.7222	3.32639	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"1380"	23	25	0.528586	0.857944	0.646616	0.414349	0.734921	1.21876	2.21447	2.19314	3.40303	2.3215	2.88412	3.98685	1.20765	2.39519	1.77535	3.59991	1.01208	5.93747	1.61839	1.56872	68.4524	96.1401	71.7869	57.7421	97.1854	114.539	184.721	159.179	232.988	178.471	0.549059	0.396505	0.216204	0.478271	0.37252	0.55914	0.271528	0.662858	0.180787	0.196528	1.70921	8.0182	3.83758	0.474546	0.816291	7.56455	7.56642	9.84799	12.8518	12.8782	0	0	0	0	0	0	0	0	0	0	7.3074	15.5864	10.3865	5.51216	7.1906	14.4846	16.3854	17.0313	21.9487	23.1508	26.2986	1.6875	14.4236	25.0903	23.9861	5.71528	2.22222	1.0625	0	0	0	0	0	0	0	0	0	0	0	0	0
"1381"	24	25	0.47404	0.686054	0.551531	0.371676	0.47529	1.22695	2.92237	2.81846	3.22101	1.64737	2.9109	3.68977	0.63822	7.79162	1.6767	2.45175	0.285366	1.55419	1.85281	3.44323	51.2588	78.8122	85.2136	32.6611	74.7871	131.08	232.782	214.473	222.146	149.019	0.462814	0.547043	0.152315	0.760529	0.364335	0.489695	0.0657407	0.356855	0.425926	0.351157	6.36156	9.44372	5.05195	3.87387	4.75361	4.07066	6.13852	10.3165	14.4606	13.0374	0	0	0	0	0	0	0	0	0	0	10.6569	15.4723	12.354	8.76043	10.4803	10.8604	15.8631	19.0028	22.6805	21.0473	13.4861	3.73611	8.23611	19.7083	12.4792	14.3472	0.541667	0.534722	0	0	0	0	0	0	0	0	0	0	0	0	1
"1382"	25	25	0.490369	0.630875	0.553525	0.271992	0.554107	1.29849	1.5962	2.32179	3.72218	2.20083	1.26797	6.18204	2.76002	6.37934	3.44391	1.58094	4.36905	3.62808	1.21999	2.06521	66.0769	84.6868	66.404	39.6482	82.2478	136.367	132.507	181.85	244.585	167.667	0.385081	0.605511	0.456481	0.596774	0.515873	0.397401	0.59537	0.600358	0.184028	0.264583	3.85587	9.26239	7.37222	4.10429	1.45955	4.67288	6.57192	8.96344	14.5466	14.0045	0	0	0	0	0	0	0	0	0	0	9.03293	15.7736	12.5596	8.39136	6.78673	11.7218	14.0128	15.988	23.122	23.8613	17.5764	0.0902778	8.78472	19.9931	14.7292	11.5069	6.20139	0.291667	0	0	0	0	0	0	0	0	0	0	0	0	0
"1384"	27	25	0.315838	0.997157	0.658535	0.319405	0.757789	1.16318	2.43903	2.52252	3.21863	1.95024	2.1973	3.12131	5.72056	2.41806	2.48127	3.38105	3.09583	4.65235	2.33055	3.78975	50.91	105.936	55.6966	51.4657	91.0717	121.223	182.751	190.506	232.896	151.809	0.4319	0.312724	0.663194	0.40457	0.339782	0.519713	0.47338	0.573925	0.409028	0.437963	-2.67083	9.14201	8.74524	3.28163	5.31671	3.16065	7.95714	9.34959	12.3772	10.9867	0.0208333	0	0	0	0	0	0	0	0	0	1.94005	16.8365	14.3725	8.33229	11.8261	9.85979	15.8378	16.9871	21.1284	19.0016	13.3125	0.0763889	2.92361	20.1181	8.71528	17.2639	2.07639	2.92361	0	0	0	0	0	0	0	0	0	0	0	0	0
"1386"	29	25	0.490934	1.35693	0.583009	0.418092	0.612137	1.20967	2.53426	3.29047	3.1535	2.38991	1.23088	2.44472	2.4145	3.02537	1.63813	2.23021	1.5982	1.01951	3.51062	2.64288	67.3219	118.339	72.0932	57.8768	73.1073	122.569	189.517	237.366	208.49	181.047	0.337814	0.412186	0.476389	0.546819	0.674603	0.507168	0.339815	0.397625	0.483796	0.246759	-2.73542	10.5754	4.5585	3.13873	2.57937	2.87429	7.4467	8.09616	12.3006	11.5871	0	0	0	0	0	0	0	0	0	0	3.30752	18.58	11.6544	8.89259	7.59976	10.3861	17.1914	17.1594	19.7792	22.2683	16.6042	1.27083	9.68056	18.7014	15.7847	13.2708	1.88194	1.79861	0	0	0	0	0	0	0	0	0	0	0.00694444	0	0
"1387"	30	25	0.470574	0.78201	0.47396	0.451896	0.956438	1.17024	2.16166	2.52704	3.75828	2.30815	6.4607	6.05367	3.07781	1.32015	3.28544	4.03903	3.54485	3.72932	3.02379	1.91391	42.9666	71.468	63.2515	50.994	93.6659	109.937	160.913	173.64	241.927	170.079	0.806228	0.605063	0.509491	0.413082	0.407807	0.606407	0.489352	0.714382	0.403009	0.282407	4.94361	10.0346	4.56593	4.05526	2.22674	3.19096	7.50355	11.1463	12.6961	13.3369	0	0	0	0	0	0	0	0	0	0	10.0527	17.0289	10.3571	9.68646	9.25762	10.0354	16.8555	18.9762	22.7801	25.0922	15.3611	0.159722	14.0069	15.9236	14.0069	12.4097	0.458333	0	0	0	0	0	0	0	0	0	0	0	0	0.486111	1
"1388"	31	25	0.643182	1.16436	0.80371	0.435913	0.857365	1.63894	1.91645	4.07527	4.5752	2.44012	1.07036	1.74721	0.702108	1.69628	3.38303	1.67942	4.95916	0.819808	1.25252	1.4193	68.479	99.8766	79.5611	48.2333	94.3031	133.671	159.126	267.038	284.821	167.112	0.204749	0.362903	0.215046	0.293683	0.343254	0.364471	0.756481	0.180108	0.287963	0.332407	0.885787	9.04953	3.1394	2.6874	1.93215	5.34599	5.11653	11.5142	12.6638	11.3533	0	0	0	0	0	0	0	0	0	0	7.96723	19.5621	12.1103	7.88177	11.0697	15.2967	13.1406	24.443	24.678	22.3595	19.9306	0	10.4375	24.5208	10.8333	2.54861	5.56944	0	0	0	0	0	0	0	0	0	0	0	0.194444	0	0
"1389"	32	25	0.446128	1.58103	0.743903	0.711521	0.877197	2.02633	2.24733	3.54677	3.28769	2.52257	1.6754	0.874476	1.70743	1.26007	4.34199	0.39238	2.3536	2.07066	2.63217	1.06356	52.0087	123.92	66.3737	58.3645	75.8753	169.979	171.285	234.793	212.635	180.77	0.476478	0.209677	0.237963	0.220878	0.640377	0.183916	0.546065	0.396057	0.579167	0.174074	1.99017	8.59998	5.25744	4.98016	6.57722	3.94957	5.62076	11.4253	12.8628	11.1456	0	0	0	0	0	0	0	0	0	0	8.29047	19.8217	13.3672	12.2137	13.453	15.3611	14.7245	22.8143	21.2237	23.8249	22.7708	0	5.72222	5.92361	3.34722	4.88194	2.86111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1391"	34	25	0.595598	1.04398	0.580165	0.581442	1.00905	1.4794	2.60187	4.10763	3.18859	2.53548	0.865822	2.55823	4.32744	1.22132	0.841573	1.86671	1.73279	1.55736	4.94707	3.66257	66.9044	91.3398	53.2576	65.6046	105.843	126.99	197.79	258.834	207.524	163.703	0.139113	0.56026	0.586111	0.262097	0.290948	0.453853	0.412963	0.300851	0.563194	0.396991	-0.663339	7.08555	4.45556	0.759749	0.738483	4.14848	5.33536	11.1834	12.8803	13.5098	0	0	0	0	0	0	0	0	0	0	6.4864	15.3661	10.7918	8.97995	10.442	12.8046	15.468	22.3536	20.859	24.7196	22.5347	2.49306	10.4583	18.6597	16.1806	7.125	3.71528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1392"	35	25	0.614366	0.877848	0.693669	0.501437	1.11495	1.93536	2.06566	3.00204	3.81027	2.46566	0.609936	4.05226	4.19838	2.98971	0.192679	0.61281	4.14365	3.01853	4.46948	2.63343	56.7507	76.1636	52.5014	43.2012	113.951	158.81	153.234	205.996	234.111	164.442	0.294803	0.740367	0.625232	0.325493	0.046379	0.136201	0.616667	0.381272	0.42963	0.350926	2.77747	7.74411	7.09448	3.78817	0.00393677	3.06273	6.32357	10.2726	14.0504	10.6214	0	0	0	0	0	0	0	0	0	0	8.93525	13.2997	13.3576	9.00032	10.591	14.1709	15.0997	19.7688	22.9532	21.2344	13.0625	2.49306	3.14583	15.7014	10.6806	5.77083	2.29861	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"1395"	38	25	0.594775	1.70621	0.811759	0.39913	0.816514	1.68744	2.61986	3.23314	4.72757	1.88654	3.98518	2.30683	2.79969	4.96035	2.97787	1.2992	1.92294	2.6518	1.21839	4.14175	50.2067	117.25	68.4609	42.3675	84.9129	153.385	199.021	220.255	284.991	137.625	0.493952	0.322133	0.233333	0.557124	0.460728	0.197581	0.302546	0.548835	0.237731	0.613657	5.35578	11.462	3.90856	3.62395	1.16294	2.65825	6.30018	9.72644	14.5985	10.2823	0	0	0	0	0	0	0	0	0	0	11.5575	21.1953	12.7562	9.23982	7.26271	13.1299	16.9151	18.3023	24.4175	19.2521	8.67361	0	5.45139	14.2639	21.875	6.61111	1.79861	0.3125	0	0	0	0	0	0	0	0	0	0	0	0	0
"1396"	39	25	0.58901	1.35817	0.471424	0.378572	0.946508	2.19289	3.43558	2.92952	2.86042	2.4891	0.880688	2.20372	5.42555	2.04687	2.29111	0.208351	0.464751	4.23593	4.15524	1.61229	58.1705	105.924	47.7918	44.2997	83.8427	170.333	245.553	196.94	187.7	174.908	0.334005	0.515681	0.725926	0.539203	0.507192	0.129928	0.0986111	0.53853	0.625232	0.251157	1.85347	7.79003	4.26005	2.72774	4.22186	4.97443	5.91957	11.5172	13.1803	9.27552	0	0	0	0	0	0	0	0	0	0	8.31983	17.0178	10.3045	8.6974	12.2462	16.7643	18.9538	20.9542	21.0695	20.3275	14.8403	0	13.0208	10.2778	5.93056	0.395833	0	0.298611	0	0	0	0	0	0	0	0	0	0	0	0	1
"1397"	40	25	0.596136	1.60939	0.508436	0.376237	1.19158	1.88187	1.78357	3.62186	3.7002	3.01313	3.71941	1.06875	5.32688	5.17817	0.390227	1.28043	6.27546	0.964938	2.29241	1.43009	64.2558	116.286	45.9045	40.3175	107.369	155.308	137.537	244.828	233.417	187.748	0.447805	0.368056	0.721528	0.774418	0.231647	0.292115	0.843518	0.187948	0.380787	0.20463	3.34766	9.05851	6.53421	3.55186	2.20485	4.32479	6.2457	11.193	13.4434	11.5213	0	0	0	0	0	0	0	0	0	0	10.0515	19.335	12.5704	9.2455	12.7701	14.4588	13.2827	21.1642	22.3327	24.7617	14.2431	0.0694444	6.26389	17.8819	9.125	3.79167	7.67361	0.0138889	0	0	0	0	0	0	0	0	0	0	0	0	0
"1398"	41	25	0.5153	1.02034	0.508167	0.452645	0.753327	1.65831	2.03607	2.82151	3.68881	1.94874	2.09847	3.18074	2.70747	1.9689	3.12842	1.93828	3.74184	3.02901	1.67405	3.86502	55.0197	83.6159	59.3581	47.8189	79.8225	137.63	153.046	188.91	237.436	132.526	0.529122	0.725582	0.611806	0.413978	0.56002	0.428315	0.705324	0.50224	0.339815	0.644213	2.81798	8.43573	1.72601	1.73276	2.17947	4.73634	7.32869	12.9789	13.2921	12.5239	0	0	0	0	0	0	0	0	0	0	9.12695	15.8115	9.59066	8.09569	8.04489	14.4994	15.3095	21.3907	22.3199	20.9322	17.3819	0.0694444	15.4097	19.7361	19.5417	5.52778	1.46528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1400"	43	25	0.468425	1.05225	0.4576	0.5639	0.838777	1.13988	2.00022	3.1842	4.32661	2.45364	3.61991	3.70853	8.59406	2.26962	1.53159	5.46518	4.37542	1.78769	1.13584	0.997797	42.1255	85.6542	40.7085	41.0466	85.1274	92.674	160.355	219.033	273.716	165.985	0.748656	0.594758	0.90787	0.706541	0.358383	0.760081	0.679861	0.420251	0.245139	0.341435	4.4767	9.4635	6.45363	5.84106	2.48252	7.62646	5.95613	11.7579	13.7852	12.1187	0	0	0	0	0	0	0	0	0	0	9.38048	16.6737	11.478	11.5963	9.54303	14.1919	13.6545	20.5386	23.7637	23.444	17.6667	0	8.41667	8.71528	15.4583	2.83333	3.63194	1	0	0	0	0	0	0	0	0	0	0	0.75	0	1
"1401"	44	25	0.594521	1.38478	0.606406	0.434264	0.840468	1.73486	2.25413	2.68299	3.8689	2.15748	0.850029	2.79578	1.55313	1.38477	2.6867	1.38887	1.53024	4.29892	2.13978	1.89754	59.4407	99.4804	67.1825	64.7822	77.9809	137.918	176.118	187.803	239.425	157.761	0.316756	0.525538	0.443056	0.350134	0.541171	0.34879	0.329167	0.604615	0.3625	0.331944	2.71233	11.2878	2.73698	-1.02011	4.64738	5.83424	6.91129	9.37337	14.7645	9.30826	0	0	0	0	0	0	0	0	0	0	9.83877	20.8746	9.60493	6.56246	10.9027	14.8459	16.59	18.4861	23.5044	20.181	15.0556	0	17.0556	17.0833	11.2986	2.54167	0.729167	0.00694444	0	0	0	0	0	0	0	0	0	0	0.138889	0	0
"1402"	45	25	0.474555	1.0772	0.529891	0.398349	0.880557	1.9164	2.61976	3.13901	4.42026	2.52014	2.7125	2.76247	3.82081	2.9885	2.27485	1.34773	2.65463	2.3292	2.50342	1.21178	58.4566	84.7774	51.2105	35.9762	87.8423	159.781	187.138	211.621	258.257	176.436	0.584677	0.564964	0.834954	0.53629	0.426835	0.204525	0.40162	0.415099	0.312963	0.319907	0.665091	9.2332	6.41534	5.94462	1.00948	5.20692	7.64108	10.4947	17.5611	10.4359	0	0	0	0	0	0	0	0	0	0	6.44338	17.8001	12.6341	10.6938	8.80368	17.0846	18.3108	19.9448	27.6374	22.0578	20.8889	0	5.47917	9.06944	16.4167	0.465278	1.95833	0	0	0	0	0	0	0	0	0	0	0	2.15972	0	1
"1403"	46	25	0.349214	1.09024	0.716514	0.414686	0.892151	1.54789	2.16563	3.43278	4.31501	2.45454	5.52033	4.8481	2.55125	2.38018	0.792204	1.79995	3.41955	2.10367	0.719258	1.82558	41.5232	89.1078	59.3515	48.316	101.512	145.742	171.285	238.93	270.322	163.501	0.726703	0.703629	0.474769	0.573029	0.254789	0.384633	0.639352	0.426075	0.149074	0.402315	2.69587	7.32864	6.14396	2.97872	1.01237	2.79565	6.70492	10.2229	14.9901	11.9048	0	0	0	0	0	0	0	0	0	0	7.91707	15.7801	13.9131	9.4046	10.468	11.8905	14.9387	19.7496	25.0098	23.2862	21.3056	4.52083	3.38194	18	13.0069	12.2847	2.04167	1.46528	0	0	0	0	0	0	0	0	0	0	0.0277778	0	0
"1404"	47	25	0.545714	1.17235	0.664777	0.408917	0.848898	1.70556	2.32678	3.66393	4.33333	2.53355	1.32168	2.65499	1.12876	2.7651	1.15205	1.81855	4.49676	1.4047	1.03577	1.13655	62.5937	92.9387	68.2266	45.2431	98.2499	148.217	172.159	241.912	262.422	167.342	0.551299	0.630376	0.442824	0.582437	0.27381	0.306676	0.52037	0.263665	0.253935	0.314352	1.71854	10.835	3.40972	1.90332	-0.126539	3.34011	7.45054	11.1403	15.7334	12.3064	0	0	0	0	0	0	0	0	0	0	7.79783	18.5303	10.3501	8.01397	6.61057	13.3662	16.0487	20.9613	26.3929	22.7381	19.6042	0.923611	13.9653	21.8264	21.2986	10.8819	3.39583	0	0	0	0	0	0	0	0	0	0	0	0.666667	0	0
"1407"	50	25	0.540748	1.48918	0.843555	0.590765	1.17355	1.43677	2.28976	2.81527	3.92361	2.94375	3.8633	1.23393	1.29539	2.69598	1.00901	3.92648	3.63441	4.61723	2.42376	1.45492	57.1109	118.382	85.7969	62.8211	112.681	124.107	176.416	193.671	246.49	194.91	0.683692	0.471102	0.384259	0.472894	0.318247	0.665323	0.671759	0.553763	0.37338	0.354167	3.8992	8.21489	2.24212	2.43189	3.77352	4.66417	6.36647	11.6579	14.2653	10.1557	0	0	0	0	0	0	0	0	0	0	9.91591	17.2782	10.2267	8.94458	13.3883	10.7392	14.7638	20.2636	22.5177	21.3829	14.2083	0.409722	13.7222	16.5417	4.20139	13.4444	0.5625	0	0	0.0972222	0	0	0	0	0	0	0	0	0	0	0
